111 328
13 40 2
40 45 10
16 82 10
29 63 4
111 7 5
15 63 8
106 36 9
84 60 4
94 21 3
42 105 7
75 86 6
93 80 2
36 56 5
12 59 6
61 74 5
104 92 7
82 48 7
74 61 4
60 18 10
71 72 4
64 15 1
5 103 5
11 21 3
13 37 2
55 1 10
16 53 7
84 70 4
50 33 9
12 51 1
80 91 8
36 84 2
91 19 7
88 67 7
37 10 7
61 111 9
47 86 5
16 107 2
62 4 7
33 79 1
49 105 6
50 65 3
103 51 6
16 44 7
49 79 2
98 44 10
46 30 10
97 38 3
21 96 6
69 59 10
102 42 6
81 38 6
25 84 3
56 108 8
103 62 2
101 75 4
35 58 10
98 22 5
47 60 4
103 5 1
16 74 9
25 85 9
107 41 8
86 25 4
85 70 9
11 61 10
87 98 9
69 59 10
73 38 6
14 88 4
68 25 9
54 88 7
45 49 8
6 33 10
100 16 1
87 97 6
63 86 4
12 39 8
83 89 6
34 90 9
9 66 3
46 86 4
80 13 7
81 45 5
89 24 2
12 50 10
106 13 5
9 83 2
104 86 2
73 77 8
2 66 7
3 85 6
9 37 3
21 103 9
38 15 3
53 92 10
82 100 9
87 94 2
17 9 8
96 61 8
2 34 3
45 4 7
35 32 2
52 92 9
67 7 4
78 48 6
90 34 8
45 7 2
63 103 5
21 73 3
97 64 4
74 5 4
91 84 9
37 28 6
44 33 1
96 31 9
11 52 3
11 91 3
25 76 3
19 62 3
59 12 2
106 59 5
52 79 6
51 25 1
85 90 6
3 22 8
108 31 6
92 23 2
36 35 9
73 60 10
38 59 4
62 53 6
94 20 9
74 102 4
58 53 2
34 64 9
5 46 2
29 52 3
33 85 1
59 106 3
29 42 8
8 86 10
76 37 8
76 100 1
62 64 2
74 77 4
87 50 9
109 56 2
60 6 3
85 62 2
72 83 7
97 28 7
24 61 4
52 26 5
52 67 6
49 8 7
19 17 1
59 42 5
15 110 9
111 71 7
58 95 10
88 110 4
91 94 9
13 69 3
104 65 10
35 98 7
31 12 1
110 56 7
65 80 4
17 45 7
2 96 5
48 12 7
82 41 3
22 80 10
89 55 7
59 53 1
27 57 6
44 36 8
36 27 9
90 10 6
80 20 7
105 21 4
85 57 2
16 97 3
50 70 4
101 17 6
35 25 2
11 57 5
27 59 9
85 90 6
66 96 6
51 21 10
14 100 9
105 110 2
57 50 3
70 87 4
100 30 1
61 97 5
41 95 9
107 32 2
72 51 7
48 9 6
38 100 5
73 10 5
41 78 7
20 111 9
58 9 9
100 55 7
107 15 3
106 10 1
95 11 8
22 41 4
6 33 10
36 81 8
15 70 3
94 22 4
110 41 4
71 83 9
47 20 8
42 86 7
69 5 1
104 95 10
76 30 1
92 11 3
10 75 7
49 67 7
57 27 9
11 90 2
109 75 7
87 32 7
52 5 2
109 75 5
62 97 4
100 106 7
17 110 4
58 81 4
5 57 3
32 88 2
79 95 9
42 9 5
41 60 6
12 6 7
101 94 10
16 69 5
103 38 1
68 80 9
63 1 8
80 71 6
74 45 3
25 73 3
74 107 6
8 61 8
75 15 7
101 79 2
8 77 4
86 15 10
6 87 2
5 100 5
6 64 6
5 37 8
8 65 8
24 22 7
59 7 2
40 83 1
105 71 7
14 94 1
59 56 6
2 40 5
107 12 1
33 107 7
68 81 9
52 86 4
8 89 1
18 30 6
10 83 6
1 45 5
59 28 6
36 3 6
38 31 9
100 71 1
19 39 1
84 94 10
111 106 6
91 9 9
67 44 1
12 21 8
3 72 3
91 45 2
80 86 10
90 67 1
46 25 5
87 42 9
72 81 10
57 50 8
68 77 5
101 28 2
28 26 7
101 84 6
30 89 2
24 110 5
81 19 2
60 47 1
100 103 10
73 55 5
90 35 7
21 20 2
52 86 1
74 68 2
51 68 5
86 57 1
73 85 3
72 79 10
74 14 2
46 10 7
79 26 3
46 7 2
56 69 3
34 74 3
2 16 7
73 43 10
95 9 5
50 66 1
64 59 6
2 98 10
103 62 4
100 36 1
50 68 4
49 51 1
93 83 3
