121 309
16 77 1
58 21 7
100 36 10
45 116 3
116 101 9
33 37 4
65 121 2
116 5 1
14 108 4
54 66 7
48 62 4
5 82 8
12 59 1
86 88 1
53 11 7
89 104 2
37 16 3
106 113 7
33 91 6
105 101 6
101 32 3
39 48 6
95 98 1
19 60 3
101 97 2
41 101 6
102 105 3
86 21 3
53 101 9
17 57 2
5 33 10
60 38 2
115 53 4
80 113 1
108 67 10
82 63 2
83 112 2
103 108 7
117 52 6
87 99 3
87 66 4
40 27 3
53 27 5
20 42 10
16 58 4
42 3 2
91 66 6
73 77 1
116 80 2
86 8 9
30 100 9
77 113 8
82 6 5
9 60 4
111 95 6
7 48 3
16 26 2
117 70 6
20 94 4
65 79 9
34 9 6
78 120 6
81 74 10
114 94 9
58 43 8
120 102 2
96 3 9
23 13 4
30 70 9
45 70 1
79 101 8
112 70 9
49 87 6
85 52 10
26 110 7
8 104 9
18 29 2
17 60 8
109 18 3
120 3 7
4 18 5
119 109 6
22 97 4
65 109 5
97 4 1
119 54 8
20 11 1
119 106 6
71 70 2
104 13 5
6 116 8
30 72 2
114 104 9
31 24 1
106 113 7
106 83 8
82 46 6
18 111 9
74 88 8
5 83 4
39 102 1
29 90 10
61 65 3
81 47 6
116 22 4
49 66 5
107 120 8
27 95 1
5 46 7
18 64 3
100 60 9
45 121 9
46 12 1
51 53 3
11 94 8
93 104 4
29 44 2
32 90 10
14 113 4
67 120 4
85 97 9
40 36 2
67 45 9
4 81 7
81 11 4
59 3 7
8 107 6
89 31 7
111 98 4
90 33 2
103 26 5
85 96 8
19 30 2
78 88 7
79 102 7
101 2 1
20 63 2
64 28 10
89 42 7
37 93 9
68 9 5
59 19 6
98 77 7
70 93 7
104 118 10
8 67 1
53 55 8
66 80 8
15 17 8
51 98 4
60 21 4
34 121 4
91 25 7
107 13 5
33 72 9
72 111 2
121 85 1
107 86 8
23 81 5
4 17 5
5 100 9
66 35 4
18 47 4
95 3 5
93 30 2
25 85 7
88 92 2
34 35 4
91 120 1
23 108 10
57 61 7
26 114 2
10 69 4
98 65 9
40 22 6
8 18 7
79 76 6
9 85 1
14 16 5
3 1 4
112 16 4
112 87 10
71 56 9
118 15 4
7 91 3
52 5 4
40 77 3
107 92 5
82 120 1
68 38 5
118 46 7
121 33 2
16 74 4
61 16 3
78 80 5
85 92 9
70 22 10
101 77 9
96 114 5
115 2 3
15 19 6
19 29 3
94 89 9
108 18 9
13 9 10
27 8 7
59 91 1
75 80 2
29 115 9
29 120 3
23 75 1
21 85 9
108 20 1
3 45 10
33 120 3
36 68 2
82 31 4
68 42 8
5 80 9
66 4 1
58 83 7
119 28 7
118 84 4
3 47 10
80 65 8
82 5 10
80 24 10
106 76 10
113 89 2
117 45 5
119 103 1
60 111 10
17 21 6
121 72 7
95 96 7
18 97 1
28 32 4
18 104 1
11 50 1
18 111 3
95 71 3
8 95 7
49 113 8
56 48 7
112 96 9
67 36 8
13 109 5
118 53 5
77 92 5
38 75 1
18 56 9
85 38 9
27 111 9
12 76 5
23 41 7
102 26 9
24 97 4
119 99 1
93 109 1
47 81 1
42 114 6
118 7 5
55 81 7
4 28 4
16 31 2
102 89 6
119 6 7
2 65 8
103 36 9
13 26 10
7 11 6
112 78 6
62 38 7
94 7 6
32 102 8
2 74 6
110 99 7
4 60 9
35 39 6
8 93 3
71 60 2
87 29 1
121 68 1
36 75 7
118 82 10
18 64 10
102 35 1
84 53 8
97 117 2
96 67 2
17 116 4
94 13 3
105 28 5
96 13 10
38 119 3
22 66 7
5 63 4
27 107 5
54 42 4
47 61 10
35 33 1
10 9 4
51 53 6
113 82 4
103 92 10
31 110 2
26 121 4
89 53 8
75 104 9
