109 340
49 71 3
86 19 8
98 85 4
28 2 5
15 63 4
89 39 2
43 3 7
38 86 9
106 99 1
9 68 4
87 46 9
44 6 10
35 86 4
4 57 9
35 94 10
93 21 8
78 105 3
68 71 8
4 108 9
2 37 4
29 67 3
31 66 7
87 55 5
34 66 5
93 38 4
31 73 6
105 81 5
11 68 1
17 6 6
13 16 9
93 86 6
109 3 5
61 106 10
30 95 4
8 72 8
94 32 6
52 23 9
8 42 1
9 31 7
105 21 4
94 8 7
59 83 7
102 87 10
87 88 7
55 74 8
16 79 8
38 52 5
96 27 5
51 87 9
6 101 10
67 36 1
59 85 7
85 79 6
19 37 6
88 94 4
6 69 3
15 33 6
105 68 7
64 48 1
78 3 10
40 101 1
68 3 1
6 31 4
31 27 5
83 41 9
72 83 10
38 60 6
93 106 2
84 77 6
33 37 7
39 104 4
94 90 8
76 45 2
21 73 8
52 63 1
53 49 9
92 105 8
96 46 10
70 19 1
61 32 7
6 68 10
26 25 7
87 32 2
91 100 1
62 105 7
85 23 5
1 103 9
45 24 2
40 27 4
55 9 7
35 1 1
43 50 9
7 92 7
35 101 4
92 77 6
93 8 1
39 37 8
56 66 4
100 8 4
78 105 5
30 39 5
89 90 6
18 58 6
104 28 8
6 70 10
94 83 7
53 47 1
48 16 4
59 60 5
24 65 9
31 90 6
34 32 3
51 52 10
90 43 8
84 82 4
102 63 9
79 43 4
97 59 3
61 96 2
78 60 4
4 31 10
45 100 7
17 2 6
90 20 1
66 7 8
54 33 5
75 59 5
48 34 7
87 107 8
39 100 9
20 78 7
86 14 5
53 93 9
31 101 6
7 38 3
16 31 1
87 89 1
89 73 2
67 26 9
41 49 10
98 86 6
13 41 9
3 23 2
38 108 9
64 76 2
51 22 2
74 98 10
61 18 9
76 73 4
109 38 10
13 58 6
81 11 4
18 56 1
93 25 3
95 10 3
104 72 9
59 95 2
66 71 7
76 33 9
34 93 3
25 50 6
74 75 8
1 105 9
99 7 5
14 37 4
30 40 3
98 68 6
89 21 1
24 33 3
91 49 6
90 71 2
54 77 5
6 8 7
43 42 6
87 59 3
105 89 7
33 79 8
31 25 4
76 59 7
23 51 3
74 103 4
77 75 2
16 108 6
67 22 4
29 81 2
109 47 4
18 81 4
22 94 6
67 75 9
82 27 9
102 25 5
101 78 10
31 40 6
34 38 4
34 3 1
84 3 5
55 37 2
108 85 4
45 69 3
24 8 6
76 7 5
4 19 10
22 97 4
100 58 2
5 52 6
92 101 9
85 31 7
87 29 8
16 108 6
99 9 4
21 11 4
89 99 3
68 35 3
92 25 8
59 89 7
13 32 3
38 35 3
109 101 7
24 1 1
22 85 1
50 29 9
86 37 9
52 30 2
29 102 4
42 54 8
74 78 5
41 89 4
80 17 5
51 92 4
98 31 7
13 66 6
108 35 1
69 10 7
56 15 5
2 63 9
16 87 9
71 88 8
91 6 10
47 9 10
73 105 3
31 105 2
72 92 8
92 50 8
4 21 9
37 70 9
101 98 5
42 8 3
46 50 4
92 67 9
7 13 6
25 81 3
13 40 4
36 11 4
102 69 9
16 45 9
19 75 9
16 28 10
79 76 2
105 24 10
51 58 6
6 28 5
107 55 3
2 59 5
58 48 9
27 86 2
109 1 2
32 62 8
32 48 2
104 61 1
22 92 7
45 86 7
99 33 10
64 105 3
3 37 9
80 63 1
95 68 5
25 35 7
71 101 8
48 38 4
67 30 1
50 3 4
17 84 10
10 71 8
101 21 6
87 36 5
101 46 8
82 36 2
46 66 6
90 95 4
66 74 4
29 73 6
2 42 1
60 3 3
100 18 2
50 77 1
89 49 3
106 89 4
101 95 9
11 26 4
79 89 8
57 54 2
44 60 1
85 26 9
47 7 4
50 45 7
49 21 9
72 100 7
91 58 4
9 98 7
32 25 2
84 48 10
106 1 1
47 33 1
25 51 7
40 94 4
20 42 10
67 29 3
48 90 3
93 43 7
25 81 3
95 72 2
39 53 7
3 13 1
20 11 3
8 104 10
28 78 2
50 4 7
46 83 4
89 40 1
90 83 2
94 104 6
32 92 8
103 26 9
25 92 2
36 49 7
57 74 6
25 17 2
109 7 8
4 54 7
34 75 9
