130 332
43 99 5
127 93 7
95 8 10
112 116 9
104 91 6
40 44 2
74 52 2
56 44 3
62 117 10
105 70 3
115 66 7
126 8 5
44 87 5
123 91 9
75 119 5
116 21 4
106 27 5
105 68 2
20 53 5
119 1 6
25 47 3
21 87 10
12 6 5
107 50 4
109 100 8
115 47 3
12 38 10
93 76 7
103 121 2
34 106 4
126 75 1
113 90 2
4 90 2
71 31 10
52 51 4
76 65 10
93 50 7
120 52 8
113 117 2
111 47 9
100 120 6
111 19 7
117 18 8
116 2 5
32 112 1
60 21 8
127 100 1
94 28 7
9 60 10
4 104 9
29 53 3
88 23 2
123 115 8
93 4 1
64 44 2
118 94 8
101 74 4
95 3 10
8 24 2
103 68 1
34 82 5
38 55 7
37 16 8
128 68 2
124 102 5
72 13 2
62 9 10
34 124 6
25 125 1
33 89 9
49 125 2
74 23 2
15 120 10
48 54 1
84 16 3
85 113 8
118 84 2
119 30 10
41 92 7
28 48 5
76 17 9
67 118 6
129 92 7
52 107 9
57 114 8
109 59 7
15 86 8
1 58 9
7 60 2
116 45 3
95 18 3
48 125 10
84 15 9
29 18 6
1 8 8
126 72 9
85 123 7
47 82 6
17 10 8
12 47 9
29 6 4
7 22 2
23 82 6
67 42 4
65 99 4
62 60 9
74 67 5
27 125 10
107 41 1
106 42 1
73 115 1
109 128 1
13 64 9
81 14 10
100 1 4
75 9 2
53 114 2
20 94 9
46 49 4
31 47 4
115 125 7
108 62 4
89 5 7
68 50 2
47 124 2
8 116 3
40 48 1
22 76 7
27 67 2
74 67 2
77 4 10
128 2 3
57 77 4
51 65 6
112 111 7
27 97 2
21 128 6
50 120 6
15 89 10
112 45 5
69 20 2
99 93 1
31 77 9
30 94 7
35 51 6
39 80 8
127 82 5
10 38 4
66 106 1
15 7 4
106 126 6
12 93 1
93 66 5
3 65 4
51 69 3
38 18 2
32 25 8
121 82 1
123 119 10
43 48 5
90 52 7
31 114 6
108 33 5
125 16 4
46 89 6
116 51 9
12 115 2
56 88 2
12 52 5
120 96 3
43 2 8
48 55 8
86 12 5
94 10 1
47 35 7
39 58 9
26 14 8
122 58 1
58 12 4
77 7 2
100 66 8
116 56 2
93 33 4
9 10 2
27 129 3
30 122 2
80 95 4
70 99 6
108 87 5
98 49 6
86 43 7
35 83 7
50 109 3
35 13 3
114 57 4
108 127 7
76 127 2
115 50 10
77 121 3
109 99 10
42 79 9
23 75 3
47 90 6
18 50 2
30 22 3
7 73 5
26 99 5
125 3 6
25 99 1
118 55 7
85 64 8
114 85 6
20 130 5
72 103 1
123 130 4
55 23 3
56 31 6
56 50 8
126 107 2
56 110 9
19 38 9
43 17 1
92 110 9
39 85 7
118 102 10
57 130 5
39 53 9
77 8 5
82 55 5
91 20 1
8 35 2
24 49 4
48 34 10
103 72 3
82 124 1
130 125 9
102 62 1
67 88 9
127 60 2
84 63 3
66 19 5
114 59 1
38 123 8
13 51 9
88 124 10
37 117 8
126 93 2
63 11 8
54 23 5
34 17 2
11 22 1
81 16 1
95 52 2
55 121 3
120 89 7
14 93 5
36 75 4
116 15 3
5 129 4
83 2 6
92 28 7
43 47 1
80 129 4
76 71 3
7 70 2
104 129 9
57 68 4
121 28 6
27 115 1
84 46 2
7 113 5
128 80 8
100 126 9
36 54 3
7 80 2
75 92 9
2 97 9
85 20 1
67 16 8
105 112 2
18 76 6
106 93 8
127 20 9
87 90 3
47 20 1
57 24 1
30 40 7
52 48 6
52 19 3
65 102 4
106 66 5
122 82 2
74 81 1
76 80 7
106 99 1
35 83 5
35 120 3
63 107 1
120 122 4
90 70 10
30 127 8
78 13 6
19 1 8
76 94 4
120 25 6
27 38 6
84 21 8
86 69 2
76 109 4
118 25 1
23 79 6
63 121 6
41 5 9
31 114 1
101 48 7
19 62 2
78 109 3
93 108 4
117 68 6
6 96 6
62 49 8
26 84 9
33 15 3
84 116 1
18 69 10
119 15 9
62 41 3
13 121 2
110 10 3
64 63 10
84 48 9
19 72 3
