106 314
57 100 1
82 97 8
67 84 9
72 37 2
88 53 3
29 17 3
10 59 3
21 11 1
88 1 9
85 43 6
42 39 7
72 67 5
74 24 6
103 21 6
106 69 9
68 5 10
48 7 10
76 72 9
53 73 7
26 50 6
80 8 7
26 15 7
42 67 2
58 41 6
102 52 7
38 96 3
35 16 1
80 13 7
54 44 7
19 1 10
102 8 2
78 17 7
22 90 3
39 16 2
100 86 6
26 17 10
31 9 1
63 76 6
64 51 9
68 102 5
1 30 4
85 96 10
53 12 8
26 102 6
53 61 10
62 60 4
20 13 10
57 15 8
68 28 9
104 56 5
72 59 7
50 13 7
86 46 4
44 53 1
30 3 5
85 100 9
54 61 6
25 39 9
37 104 10
25 96 3
69 41 10
99 1 5
67 82 7
84 78 1
58 90 10
70 33 10
18 1 1
23 14 9
102 37 5
95 38 9
35 80 8
17 102 8
101 88 8
98 11 5
20 52 4
19 45 9
76 45 4
15 71 4
27 25 1
90 27 5
89 67 5
26 42 4
16 60 6
7 91 1
47 104 10
10 15 7
14 47 7
75 57 1
25 78 9
47 54 9
88 62 5
14 40 10
62 103 9
46 32 9
94 48 2
49 25 3
26 70 2
98 56 2
55 40 3
100 68 7
11 7 3
68 82 6
103 53 2
8 30 2
39 26 7
53 75 6
87 21 10
88 49 10
20 50 10
34 94 8
99 95 7
62 83 8
39 65 1
27 20 8
73 31 3
67 11 8
35 57 4
102 60 3
29 40 4
4 61 8
29 7 1
90 30 4
90 72 7
93 100 7
7 66 7
72 51 3
14 31 2
34 29 5
41 23 7
3 77 8
14 68 4
81 45 7
25 38 6
18 58 2
75 4 3
40 43 7
10 37 6
21 11 1
61 34 2
59 41 5
86 100 9
5 93 8
83 22 5
15 51 7
38 22 10
42 70 2
93 32 6
18 91 10
84 83 8
2 1 9
28 52 3
42 57 4
21 45 6
40 104 8
60 12 6
49 20 8
87 22 8
25 82 9
69 72 2
64 75 7
101 32 5
38 30 10
4 16 9
103 53 5
68 30 9
58 55 6
30 84 1
62 84 4
78 35 7
106 45 6
48 49 5
20 75 9
23 65 2
4 34 7
14 92 5
74 102 8
61 58 6
23 59 8
16 81 8
91 54 1
8 84 7
94 22 4
63 91 7
94 33 6
83 52 7
79 77 5
42 99 6
52 76 1
42 71 4
73 106 3
102 15 2
42 93 8
73 57 4
69 31 7
93 83 1
92 100 8
92 96 7
72 69 1
59 99 1
105 8 3
60 27 3
37 87 4
104 85 9
11 31 10
40 87 2
69 78 10
40 33 6
81 79 7
45 26 10
9 82 2
67 44 9
59 13 10
15 53 6
30 101 9
42 45 2
1 87 8
62 19 2
19 25 8
51 5 10
2 95 7
92 81 7
15 36 3
8 69 10
60 101 10
1 28 7
52 86 7
68 34 5
37 43 10
105 71 2
76 95 5
46 106 6
83 17 6
89 15 3
94 83 2
29 48 2
102 42 7
17 10 8
33 96 7
24 59 6
17 4 7
21 32 2
3 26 5
57 4 10
43 75 5
59 73 7
88 84 6
60 72 1
21 43 1
40 106 7
94 67 8
35 22 3
81 8 2
102 103 2
79 44 10
21 15 10
85 11 6
38 106 10
6 45 4
27 73 9
77 91 5
26 28 5
48 78 1
101 77 3
93 41 8
5 72 10
15 95 10
74 42 2
13 35 2
15 100 6
105 70 9
91 12 3
43 101 10
98 21 1
26 48 9
20 69 8
80 91 9
87 54 4
78 45 9
3 66 10
96 83 2
70 20 3
103 27 6
67 38 4
97 23 5
29 73 9
24 31 4
69 26 2
75 33 1
96 6 3
51 102 6
21 9 1
37 24 2
84 78 4
25 45 10
51 16 3
34 75 3
87 101 10
30 80 1
15 76 9
73 57 9
39 97 10
87 13 10
46 3 7
79 44 1
11 45 6
58 57 1
53 11 1
49 38 10
40 59 1
73 59 5
20 34 5
35 61 1
83 65 9
35 31 8
