126 325
78 16 2
94 77 9
75 49 2
36 49 7
70 21 8
25 19 7
66 106 7
119 96 7
74 121 3
101 53 9
114 22 6
76 121 10
59 113 10
13 2 9
52 7 6
62 103 3
26 58 7
28 40 5
90 5 3
78 4 7
72 35 2
25 1 3
118 96 5
37 103 5
98 85 3
52 79 7
125 79 10
99 126 8
58 111 8
85 60 10
85 124 10
98 69 9
1 6 9
42 74 8
91 70 1
21 64 5
96 27 7
77 86 2
117 3 2
78 38 5
104 78 4
64 77 7
104 36 10
37 107 4
82 25 7
116 17 4
112 78 8
96 109 4
32 19 9
12 58 3
38 3 8
33 50 10
113 105 2
121 118 5
8 43 1
99 20 10
108 73 5
52 125 10
87 88 5
108 15 7
50 43 7
34 35 7
33 54 7
38 28 8
41 101 3
104 11 3
37 121 2
57 1 3
51 4 3
63 27 5
99 76 6
29 68 6
77 81 9
17 65 7
79 72 3
2 121 8
120 30 9
25 126 1
123 111 2
42 52 6
7 6 10
2 46 4
40 44 7
115 37 5
101 43 3
7 58 5
49 123 2
6 3 10
37 126 3
13 3 10
91 110 5
112 66 7
90 99 4
34 113 3
114 5 3
75 38 1
68 61 9
83 17 1
72 108 5
39 112 1
77 82 10
94 18 5
34 16 1
123 54 10
81 32 1
89 22 9
43 34 5
47 18 6
24 29 4
89 110 5
60 105 1
2 19 3
97 87 2
117 47 6
93 97 2
2 104 8
19 59 5
8 18 6
81 66 8
119 63 6
4 92 8
55 5 4
33 57 8
41 80 8
70 20 6
74 27 7
64 109 5
124 120 10
68 40 5
88 5 8
23 44 3
113 100 8
34 28 4
117 27 2
10 85 7
122 27 8
112 78 10
102 113 6
2 28 1
87 38 6
41 35 1
40 43 4
55 29 7
20 91 4
107 113 10
90 63 1
36 75 6
47 65 7
53 29 1
74 45 2
31 105 2
34 30 10
9 125 2
79 62 4
35 83 1
87 58 5
75 9 4
70 88 8
73 77 7
70 113 5
58 86 9
26 115 3
87 117 4
25 98 8
18 13 3
72 6 8
38 15 4
98 66 3
113 110 7
101 54 1
52 86 2
69 57 8
34 33 5
70 39 4
19 111 1
24 89 4
59 82 5
12 43 4
73 100 9
23 10 4
91 61 9
8 99 4
99 44 1
63 66 8
20 118 8
117 9 5
54 52 3
4 117 3
76 107 4
36 57 1
42 8 10
50 33 7
61 101 6
29 70 3
78 88 10
9 87 1
1 44 8
88 62 1
65 21 5
37 66 9
26 83 7
81 28 8
42 73 5
51 109 3
27 103 2
13 126 5
109 87 3
48 45 8
99 33 5
87 84 3
75 95 8
106 93 3
13 30 4
28 123 4
90 123 10
57 67 1
57 34 10
64 22 5
47 4 1
124 36 5
38 101 5
122 54 5
6 65 9
6 23 10
24 9 10
88 8 10
104 40 7
9 87 6
105 56 3
50 36 1
88 48 4
54 58 5
44 83 9
1 123 5
109 92 4
94 120 4
51 17 7
73 94 7
86 20 6
125 77 8
67 69 5
62 51 6
16 48 8
80 16 8
113 18 8
44 41 9
100 4 5
66 8 4
85 79 10
118 47 9
16 17 1
122 47 4
104 75 8
119 52 7
119 47 10
113 52 4
98 34 6
58 46 5
105 107 3
77 96 8
16 14 9
121 38 7
21 85 8
3 89 3
21 84 8
26 54 9
39 121 10
88 58 5
106 54 9
60 1 10
2 85 9
42 57 4
96 65 3
123 52 10
87 72 10
59 79 2
33 119 4
18 86 6
26 74 8
124 60 5
7 46 5
56 110 1
54 73 10
35 117 7
23 34 6
22 105 9
52 34 5
72 28 1
101 45 1
60 33 9
56 117 4
86 76 2
108 51 6
53 94 3
78 68 4
31 95 8
57 66 2
96 113 7
48 111 5
36 121 8
83 86 9
122 13 6
4 7 5
39 14 8
57 118 2
55 17 5
41 30 4
32 117 4
56 54 6
39 4 5
66 63 10
105 99 6
45 96 3
113 1 5
22 117 8
25 20 1
65 45 6
10 88 5
53 84 3
117 93 8
35 54 2
44 49 4
28 24 6
10 114 5
118 36 3
