116 335
35 74 8
107 76 3
9 79 7
75 4 8
32 80 10
97 45 10
47 46 8
116 96 1
97 92 2
39 2 10
21 76 8
103 10 2
57 82 6
93 109 3
37 38 8
62 94 2
77 60 4
64 9 4
62 58 1
114 17 9
47 30 2
78 6 8
45 78 6
79 95 9
63 45 10
2 30 2
39 85 2
51 90 3
113 85 3
43 97 3
50 61 1
25 24 8
88 14 2
8 93 7
61 76 10
57 54 3
102 91 4
10 21 1
112 97 6
67 77 7
91 70 6
52 65 5
26 59 3
29 107 8
34 106 9
41 38 2
37 109 6
45 19 8
66 55 6
38 113 2
16 13 8
9 45 2
115 71 6
75 25 1
102 6 7
12 99 8
87 51 5
7 47 3
6 72 6
33 48 8
74 34 9
108 66 8
19 92 2
95 47 5
40 96 9
20 7 1
97 86 3
33 24 10
84 48 8
49 105 3
95 106 10
70 45 10
49 51 9
3 106 10
67 34 6
89 51 1
5 33 1
9 3 2
108 45 3
54 30 10
31 44 2
63 27 2
33 59 1
58 86 9
57 80 3
39 77 6
98 9 2
67 19 1
12 4 4
65 18 4
67 78 9
12 4 10
86 104 7
32 51 1
2 63 8
31 4 8
1 66 8
43 104 10
45 42 7
75 110 7
64 83 6
10 21 1
98 61 7
8 112 10
60 73 10
56 79 7
30 66 6
10 68 10
57 103 7
38 51 5
113 54 9
20 75 3
116 14 10
62 34 4
1 102 4
70 7 1
6 17 5
86 26 2
18 20 6
4 72 5
99 10 8
100 75 8
57 78 4
41 106 3
51 32 1
31 88 3
28 9 8
63 76 2
9 57 8
108 55 10
1 108 1
11 52 2
89 19 9
69 68 3
18 50 10
62 84 10
100 6 4
38 56 4
62 106 10
39 84 9
70 79 5
56 53 9
18 74 4
57 4 8
49 67 10
103 86 9
91 80 9
95 28 5
73 55 2
73 57 2
101 62 4
10 17 5
94 10 8
69 33 10
56 53 10
107 16 10
29 51 8
83 46 9
112 72 1
95 19 3
83 69 3
26 32 2
110 39 5
23 74 8
107 23 8
81 63 10
61 29 7
67 114 9
107 116 8
22 55 3
96 64 3
81 72 4
92 94 3
4 18 9
53 2 7
16 45 10
53 88 9
11 96 3
58 83 2
30 51 6
11 112 7
42 103 9
10 79 4
26 20 9
116 60 4
59 115 5
73 57 5
16 98 10
25 19 4
92 96 1
85 46 1
116 57 7
39 14 9
6 14 7
116 55 10
17 13 1
68 81 7
69 18 10
114 78 3
24 115 7
32 54 6
49 34 2
2 100 3
24 50 10
102 24 6
16 84 6
110 27 10
116 25 7
116 71 2
42 13 6
86 98 10
49 82 10
33 62 7
8 5 1
16 78 7
20 74 5
17 65 3
33 56 9
111 93 8
46 37 6
68 1 4
49 6 7
101 105 7
17 50 2
56 46 9
56 49 1
11 39 4
58 116 9
64 44 6
10 38 10
112 101 2
45 10 10
111 106 8
50 97 9
85 56 1
51 42 4
80 5 9
65 57 9
102 19 6
102 32 10
29 73 9
26 88 6
14 18 4
76 111 8
70 97 5
115 17 8
83 89 5
61 99 5
44 6 7
51 70 2
62 99 2
101 52 2
41 9 3
96 6 5
72 9 9
36 56 9
5 18 7
75 19 9
97 52 5
35 69 9
8 4 7
93 79 10
42 29 1
6 40 10
86 23 5
13 69 1
14 68 7
58 68 4
31 115 4
73 51 4
13 76 10
8 3 5
81 15 5
104 60 8
51 36 3
114 97 1
53 85 5
30 14 5
110 20 9
111 61 6
82 2 8
102 105 2
90 94 4
70 10 3
6 50 7
21 2 8
65 93 5
54 75 8
5 93 8
81 97 1
69 59 6
39 50 5
59 61 8
109 70 4
80 55 5
81 8 9
54 82 5
85 97 8
24 80 6
58 77 2
28 35 6
116 37 8
84 51 3
98 89 7
4 94 9
73 97 3
75 89 9
109 103 2
109 112 8
6 13 3
106 54 4
19 75 5
100 31 4
72 109 4
81 70 1
40 73 3
84 77 3
76 100 6
95 94 4
34 65 1
97 5 10
56 6 8
33 73 6
109 59 5
98 53 2
7 76 4
109 65 5
4 23 1
97 115 5
39 110 9
105 112 2
106 78 10
94 32 3
109 50 4
33 30 10
