101 308
42 40 3
16 55 2
41 9 9
78 11 5
59 11 6
15 2 9
20 98 10
101 86 3
39 70 10
52 4 9
76 18 2
24 48 3
33 19 6
2 93 3
97 56 5
97 21 10
39 41 4
52 58 2
96 15 8
52 62 6
63 5 5
3 68 6
65 44 9
47 46 8
50 86 2
66 80 6
72 56 9
23 15 5
97 59 1
86 37 6
53 54 9
65 33 5
80 4 5
24 64 8
84 78 8
36 63 10
59 8 6
6 91 5
17 99 5
30 66 8
88 49 3
27 38 1
36 93 1
44 23 7
74 99 4
72 29 4
64 11 9
90 89 2
72 88 3
18 20 4
63 9 10
30 36 3
99 58 9
55 29 1
54 101 6
67 81 4
52 92 7
14 91 2
32 60 4
60 42 9
14 1 5
35 72 2
43 86 1
68 80 1
37 27 1
99 45 2
44 14 5
52 71 1
73 96 4
56 19 3
85 16 6
1 100 3
91 10 2
45 51 9
90 44 1
24 5 4
24 65 7
79 86 6
75 45 6
88 15 7
65 42 2
79 96 1
10 88 5
83 40 1
70 41 5
13 29 10
95 16 8
85 44 7
13 63 10
44 18 3
25 37 1
19 62 7
33 22 9
24 28 8
30 85 6
23 33 6
71 73 9
34 98 5
51 27 7
40 7 1
66 46 8
55 59 10
80 68 6
10 92 2
69 87 9
59 26 8
34 20 8
21 92 9
94 63 10
9 17 1
33 26 7
90 35 2
25 93 5
21 6 7
21 22 6
78 52 4
91 95 10
62 4 6
80 68 6
100 54 8
73 96 1
96 97 2
89 75 2
71 72 3
2 98 7
9 39 3
94 86 1
10 43 3
28 41 2
98 11 6
20 78 10
1 40 6
65 72 2
55 88 3
20 87 3
41 61 7
96 16 5
26 29 6
61 88 6
57 47 3
28 69 9
14 10 9
7 17 9
43 79 10
96 13 8
89 86 6
62 92 8
98 76 6
85 29 5
45 29 3
8 81 1
100 14 3
73 36 10
99 87 10
74 90 6
58 81 4
32 17 2
58 48 2
83 67 5
21 10 8
72 40 10
33 67 10
97 84 10
77 53 8
95 5 6
95 54 10
59 72 4
16 79 3
86 10 4
47 19 6
16 6 6
51 11 8
67 2 7
24 43 1
54 34 10
1 4 3
16 72 9
25 23 4
49 2 6
39 46 7
34 74 10
60 71 2
97 55 3
50 46 10
1 25 10
96 55 5
32 54 2
83 58 3
50 53 10
24 45 8
29 34 6
19 17 1
46 44 9
45 51 1
39 18 6
91 9 10
22 94 1
19 63 4
51 87 9
52 41 8
17 65 5
15 97 5
39 23 1
11 38 7
68 92 1
24 73 3
95 85 2
79 73 5
69 50 2
69 96 5
29 74 2
22 99 5
40 34 5
20 88 3
90 15 6
83 29 9
6 92 3
54 77 8
53 101 4
7 5 5
22 13 7
3 50 4
46 85 6
80 56 8
66 60 7
2 98 1
34 85 9
39 50 7
101 29 7
8 79 7
83 28 9
33 2 6
50 73 7
14 95 8
14 45 10
41 66 2
5 19 4
79 11 8
87 50 2
80 50 5
61 93 8
19 98 7
74 62 5
80 85 2
64 81 4
67 42 3
59 32 2
68 95 6
90 45 8
35 68 3
25 82 2
63 95 7
58 5 2
13 49 9
18 87 1
45 58 9
14 97 3
77 9 10
2 100 4
20 73 10
52 39 6
64 17 6
3 93 6
75 56 1
55 54 7
25 37 3
37 1 7
45 39 3
1 89 4
91 67 9
2 46 5
33 24 6
36 1 3
61 74 3
1 32 10
93 21 10
35 100 5
63 69 1
80 52 2
27 43 10
24 79 1
58 95 4
40 3 6
34 68 6
60 81 10
14 12 7
48 38 9
12 27 10
48 68 5
27 69 3
1 45 10
99 78 9
5 87 9
81 65 4
88 37 1
26 47 1
81 45 5
93 70 3
19 42 10
64 27 3
35 72 8
48 13 8
100 38 1
81 53 2
59 64 6
93 74 9
88 20 7
75 52 6
