125 321
102 48 2
54 85 10
97 8 7
57 26 1
42 66 2
40 122 8
122 12 9
28 108 6
99 88 9
35 41 1
93 75 6
84 34 2
114 80 5
106 55 4
72 92 3
33 83 6
87 65 8
42 36 10
26 8 4
73 113 5
97 52 6
96 117 9
44 87 10
20 29 9
60 116 9
89 94 1
62 109 10
103 98 4
115 83 3
44 102 5
42 60 9
17 106 4
37 26 3
12 37 2
117 109 2
24 13 10
30 58 2
125 32 2
59 47 10
117 52 10
111 60 1
39 2 6
39 62 9
64 37 10
121 90 9
118 115 5
116 81 4
78 106 1
70 16 2
77 115 1
72 54 1
24 6 6
30 54 7
94 16 3
54 6 3
27 34 5
46 16 8
24 5 7
11 9 9
99 94 1
90 73 6
82 54 8
62 104 1
123 29 10
98 37 5
7 87 9
47 112 7
93 9 10
104 36 7
86 122 10
80 79 2
15 55 7
51 50 10
55 22 5
27 69 4
124 60 1
86 22 2
14 37 9
124 65 5
123 46 4
90 74 7
9 101 5
35 6 1
40 75 2
90 115 2
4 21 9
93 79 2
43 96 4
101 3 8
95 3 5
81 13 1
6 20 8
68 18 7
34 57 6
108 61 6
3 104 3
80 21 7
13 18 7
14 63 1
60 14 3
14 111 4
87 108 9
46 87 6
56 76 6
20 28 9
68 57 1
55 29 4
35 47 3
106 42 6
38 47 10
57 10 4
43 121 9
45 19 9
89 22 4
122 34 6
109 61 3
23 34 1
57 36 10
66 21 5
55 97 9
13 33 3
48 104 8
2 63 8
5 76 2
25 60 5
90 112 9
87 33 7
38 98 2
66 83 9
104 58 5
5 7 2
107 85 7
56 41 1
85 15 8
18 26 7
98 20 5
100 27 7
57 61 6
23 7 9
98 103 6
106 37 7
55 125 10
9 82 5
95 47 10
75 24 4
63 58 4
17 98 5
64 33 10
116 26 6
40 90 1
1 118 2
15 25 3
123 87 4
18 87 9
58 17 8
5 125 10
41 26 3
107 45 8
68 82 2
12 76 8
101 77 5
62 25 6
85 97 4
82 87 1
23 11 1
12 108 4
48 66 1
59 39 10
50 57 3
86 69 6
107 74 10
44 28 4
123 106 4
66 105 4
125 25 4
19 78 9
76 92 7
101 6 4
30 44 5
8 102 6
51 37 2
90 86 7
32 114 8
93 88 6
112 101 9
101 54 7
108 79 6
96 35 7
105 20 1
89 22 4
102 22 9
16 114 2
104 68 10
86 44 2
115 37 8
31 97 9
50 103 9
1 114 6
44 90 1
84 63 6
18 63 5
118 29 9
10 72 6
75 34 10
110 81 4
51 58 2
21 11 10
41 20 6
73 74 2
118 23 4
25 109 4
97 124 3
112 95 9
50 96 4
68 109 5
98 54 1
22 60 9
21 5 9
97 81 3
42 116 8
56 84 3
3 21 4
123 21 5
120 121 1
20 44 8
39 13 7
114 80 8
14 119 10
68 117 2
24 17 9
48 98 9
124 28 10
123 24 10
78 66 8
39 2 9
91 33 1
70 121 6
36 92 1
52 115 1
17 11 2
93 94 7
86 27 3
24 66 6
55 1 10
78 118 7
95 35 9
97 52 9
76 23 8
42 45 4
79 95 6
2 97 3
5 83 8
29 25 6
39 100 3
16 5 4
114 15 4
119 112 1
118 23 9
63 73 10
12 7 4
65 113 5
104 112 2
94 70 7
80 25 10
99 106 8
12 120 1
36 119 9
56 36 10
86 82 10
66 33 6
86 67 6
40 117 5
18 28 7
91 2 7
25 121 6
67 5 1
67 37 3
34 28 9
44 101 3
8 23 8
68 24 5
3 80 4
81 31 5
29 61 2
40 24 7
118 104 9
8 90 1
54 57 6
33 70 2
118 97 9
56 70 6
38 19 2
18 56 9
57 63 10
18 92 8
58 106 2
65 112 9
107 34 6
115 89 6
80 46 3
25 88 6
103 49 1
124 57 5
37 42 1
98 60 8
56 40 9
125 58 6
62 111 2
78 21 2
105 21 1
50 48 4
113 75 5
87 31 6
55 110 1
46 90 8
60 65 5
72 120 4
42 27 7
16 86 4
1 84 3
96 6 8
