118 311
14 9 7
67 54 6
85 5 1
19 99 5
60 105 7
90 77 1
43 91 8
14 29 8
43 70 1
34 48 5
1 108 4
19 68 1
72 33 7
33 15 10
75 50 3
12 115 4
97 111 5
42 74 2
65 9 8
51 94 6
54 67 9
33 98 2
43 42 2
79 100 8
61 7 10
32 40 8
75 80 4
93 108 6
75 21 9
52 116 6
96 17 9
87 3 3
62 53 8
67 29 6
63 90 1
45 112 5
45 26 2
2 46 2
18 101 2
17 34 4
60 57 1
20 96 6
6 3 7
85 57 9
19 56 8
43 101 2
62 78 4
79 105 10
12 61 3
74 102 6
107 50 3
15 23 8
22 44 1
113 69 3
31 4 9
21 75 2
86 27 6
23 82 3
95 106 5
95 103 8
36 110 10
9 23 3
92 113 3
70 52 4
22 1 1
4 9 10
13 21 1
74 97 7
108 77 5
28 102 6
27 8 2
35 76 10
107 94 5
47 79 9
99 56 2
108 35 8
71 66 2
99 66 1
9 64 5
111 106 9
8 52 4
89 27 8
95 22 4
77 24 9
68 11 7
91 26 1
95 20 8
29 82 6
43 78 6
92 74 2
25 83 2
91 38 7
48 82 6
53 36 7
7 10 9
68 101 4
74 79 5
83 74 8
15 77 10
113 22 5
114 44 9
87 117 9
5 36 7
46 81 7
27 38 10
33 17 9
43 106 8
88 102 9
108 100 1
94 95 6
54 59 6
83 103 9
61 26 5
30 85 2
36 49 5
96 1 10
57 3 1
16 77 5
21 4 5
54 102 3
114 106 4
99 18 8
40 13 2
36 30 6
69 83 1
32 61 8
91 22 7
92 99 3
118 84 1
14 26 8
74 110 8
1 72 3
116 55 5
52 55 1
112 28 2
26 32 2
51 69 10
71 43 7
4 86 7
43 89 9
67 54 2
10 73 9
90 3 9
12 95 4
36 118 4
12 89 7
50 4 5
7 47 4
18 37 3
9 19 10
60 7 7
4 57 3
49 5 6
45 112 3
38 109 10
10 100 7
116 51 2
56 105 1
111 40 2
51 9 4
16 90 2
63 71 7
6 60 2
11 99 9
22 82 4
114 40 1
115 72 4
115 9 8
11 5 8
26 16 9
108 76 7
62 64 1
83 22 5
59 49 10
106 25 4
1 82 4
53 16 6
46 62 1
88 117 10
16 20 9
39 88 7
72 114 1
106 88 1
61 38 1
95 105 2
101 98 7
54 111 2
12 92 6
8 5 4
94 86 2
90 65 8
84 3 4
90 1 2
115 76 1
54 59 7
85 84 8
104 29 3
39 5 5
81 92 2
56 79 8
27 50 4
54 96 4
26 93 2
68 88 6
101 37 10
110 114 7
50 109 4
72 48 1
11 101 2
75 36 1
33 15 10
92 52 10
58 41 6
11 3 10
30 20 2
118 112 9
44 84 10
87 79 9
76 93 1
41 39 3
46 38 8
114 107 2
18 92 2
102 38 2
55 39 1
62 94 1
20 39 3
97 19 6
10 93 5
43 80 5
98 97 8
83 41 1
17 5 10
59 67 2
114 3 6
67 47 9
118 51 7
117 12 3
113 24 4
111 91 4
57 47 2
90 25 7
108 77 10
57 7 10
108 104 2
53 68 4
98 82 1
78 49 5
114 22 1
40 38 9
76 109 5
97 98 3
34 110 1
70 69 3
106 53 9
19 70 1
114 44 9
13 16 7
68 20 7
95 91 5
78 102 4
8 30 9
59 39 6
98 25 8
118 76 1
67 98 10
47 49 1
28 43 4
53 41 2
9 64 1
90 36 9
60 74 4
45 25 9
58 60 5
3 19 4
40 38 1
62 116 10
3 13 7
23 36 3
15 74 2
47 62 3
82 55 2
70 60 4
17 117 4
52 36 8
89 40 8
82 16 1
4 107 2
35 40 2
55 84 8
48 5 6
56 92 4
48 39 5
48 3 1
54 30 8
93 105 4
116 67 3
11 76 3
12 115 3
72 113 7
99 13 5
62 103 1
30 28 9
116 44 4
93 70 7
118 70 4
85 52 10
66 102 2
95 74 3
39 16 7
112 84 10
