124 337
2 83 8
95 121 10
110 73 10
96 8 9
87 22 1
27 66 4
114 44 9
78 65 6
54 69 1
98 22 9
11 115 4
11 23 1
102 74 1
63 46 3
16 85 7
31 56 8
93 62 7
105 103 7
61 59 1
100 44 5
50 110 6
25 17 8
11 34 10
124 106 9
33 7 8
82 103 10
30 123 6
83 89 4
99 25 3
91 89 9
21 11 9
15 50 9
13 2 7
59 124 7
117 79 6
14 99 6
76 109 1
23 94 4
49 29 9
76 20 2
23 33 1
36 120 4
99 23 8
111 63 2
8 83 3
47 83 2
81 71 9
119 111 10
109 119 5
62 111 7
79 17 5
42 53 2
22 5 3
47 24 2
31 41 9
86 101 9
12 1 4
123 89 5
4 31 9
58 87 10
56 73 3
63 122 4
56 97 10
71 51 5
21 86 9
111 41 10
36 115 5
60 79 1
42 69 7
41 94 9
91 24 5
54 36 10
67 5 1
90 97 8
42 108 1
123 88 6
120 45 2
19 90 1
77 75 9
24 95 1
31 74 2
110 104 5
10 12 8
65 82 10
91 14 4
50 80 9
14 9 8
55 118 1
2 106 3
46 111 1
69 76 3
48 96 9
5 122 5
108 53 7
76 49 4
72 6 4
39 2 6
71 111 1
19 3 3
123 44 6
50 107 8
88 123 7
81 98 4
117 69 4
107 112 8
122 78 4
108 69 10
41 42 1
7 12 5
3 80 1
103 10 9
37 38 10
37 93 8
43 25 9
49 12 2
124 7 10
90 93 6
30 10 3
16 25 5
5 84 6
121 85 7
101 63 5
14 123 6
118 119 1
101 9 7
24 55 2
105 91 8
21 118 3
47 3 4
80 94 7
27 4 5
111 29 6
13 72 5
64 72 8
76 90 3
37 8 10
118 20 8
109 67 4
43 29 9
123 34 2
101 73 10
60 85 4
75 9 8
119 35 10
86 36 9
53 40 2
19 39 7
116 97 6
113 97 3
31 28 9
65 18 8
68 47 4
30 74 3
63 4 7
14 44 3
105 46 6
13 73 2
75 115 6
23 45 8
98 29 1
82 113 9
105 124 10
21 16 3
76 45 5
94 98 6
48 69 1
98 101 3
75 114 3
58 54 5
100 8 7
46 103 5
96 117 4
99 101 5
13 58 3
56 121 6
110 111 9
47 94 5
46 9 2
63 96 2
102 77 1
79 49 9
3 106 1
16 62 9
65 117 6
69 42 8
55 3 5
109 96 9
49 74 7
39 3 8
109 102 2
47 50 3
74 73 8
51 75 10
110 101 5
21 1 5
27 89 10
82 46 6
111 83 9
31 57 2
8 53 1
25 56 4
94 40 2
51 100 9
16 22 2
50 72 6
78 47 7
121 37 1
27 60 5
68 48 9
76 19 10
116 54 1
98 100 4
21 38 9
48 63 8
99 39 7
107 5 7
119 67 9
119 15 7
57 105 3
67 27 4
80 66 10
24 93 4
87 79 7
103 13 1
66 19 1
109 47 9
117 80 8
80 120 4
121 107 4
46 105 6
13 26 5
21 67 10
22 74 9
35 59 8
42 71 5
13 16 2
64 65 10
113 86 5
70 29 4
99 33 1
6 18 8
114 67 3
32 43 2
122 90 5
43 30 3
114 19 6
52 113 4
110 35 6
75 105 1
32 122 10
55 86 9
22 122 8
18 14 6
38 89 2
30 26 8
32 56 7
6 118 1
28 50 9
19 21 4
75 47 2
34 119 1
17 87 3
33 67 1
124 92 6
67 92 10
37 64 1
36 50 4
97 69 7
56 95 6
105 44 5
51 84 4
113 95 9
121 93 1
46 99 5
91 7 7
79 121 5
49 84 3
102 34 5
49 46 6
56 44 8
59 1 10
99 119 7
45 95 10
85 29 1
94 42 3
76 115 5
58 34 7
62 52 5
32 53 1
41 60 2
79 92 8
44 66 1
37 11 5
88 79 2
34 43 9
42 91 3
115 16 7
112 24 9
112 83 4
17 113 8
16 85 1
102 22 7
87 118 9
38 28 5
98 76 10
3 44 10
1 77 8
79 62 8
49 65 4
1 117 1
70 72 6
70 66 9
93 103 2
67 119 3
65 18 3
48 109 2
32 4 9
122 32 5
62 69 9
101 8 8
80 119 6
108 15 3
93 68 8
39 9 4
80 45 1
29 26 10
94 7 1
43 83 4
119 116 5
67 4 8
121 66 6
92 10 1
7 56 8
74 13 2
43 109 10
21 71 8
26 75 3
