124 324
14 106 10
124 100 2
30 32 5
68 38 7
61 34 3
89 96 7
30 123 10
98 47 7
77 73 4
116 5 4
57 33 7
58 59 5
106 71 7
9 110 5
57 61 3
5 60 2
58 88 9
117 52 3
85 111 10
121 55 7
98 54 4
66 61 5
8 66 9
106 3 4
12 60 6
23 49 3
79 42 3
43 70 1
112 100 7
96 116 7
20 26 7
118 105 3
51 20 5
35 49 2
124 103 6
95 106 10
20 5 9
40 78 8
61 93 4
35 23 4
4 41 3
38 94 1
71 5 2
66 25 6
103 48 9
53 64 8
62 51 2
110 35 3
73 117 9
27 52 9
93 86 1
109 62 7
26 54 4
20 29 9
4 104 5
84 118 6
48 14 10
99 28 4
76 40 7
116 79 2
58 43 1
111 81 4
4 91 3
89 82 8
47 21 4
84 28 3
34 19 8
88 15 9
47 61 7
117 22 6
83 122 10
26 35 7
65 19 5
113 22 3
27 82 7
45 96 9
62 63 5
51 78 3
31 111 9
23 31 2
117 6 1
122 49 10
33 93 5
82 24 9
71 99 5
16 87 7
44 32 2
54 34 8
110 36 10
89 118 4
91 44 8
116 33 7
101 70 5
121 15 5
45 30 9
99 50 1
66 76 3
29 101 3
33 19 6
103 104 6
22 6 9
62 92 9
48 124 3
19 14 3
95 94 1
15 120 3
84 10 4
107 121 9
54 45 2
40 38 8
93 21 7
31 96 8
75 123 6
80 71 6
90 55 4
104 11 10
115 117 8
46 16 3
123 106 1
117 41 1
61 110 5
76 121 9
110 6 2
2 37 2
115 29 1
65 10 6
98 31 8
5 80 10
96 32 9
96 59 8
101 27 2
118 4 8
92 77 10
73 60 5
84 2 4
33 48 9
65 120 5
46 108 6
17 43 7
118 77 5
53 40 8
27 74 6
3 25 3
27 123 3
69 56 10
97 122 8
74 111 4
79 31 7
68 28 8
70 81 6
11 55 8
72 113 4
61 88 6
30 94 4
120 45 4
83 71 1
26 24 7
121 41 9
111 1 4
67 75 2
33 116 6
35 102 5
16 98 6
64 23 8
7 1 4
111 113 6
73 79 6
63 59 10
56 5 4
114 90 7
38 48 9
28 12 2
68 110 7
29 85 9
16 68 1
80 6 2
60 53 4
21 6 4
45 82 5
121 99 10
67 57 4
59 94 4
29 115 10
62 29 2
114 86 2
8 7 2
48 109 10
39 50 4
49 75 9
14 24 3
12 78 8
30 90 4
35 29 2
17 60 4
67 68 10
124 101 7
78 49 8
121 63 9
109 116 2
66 23 9
96 94 4
4 32 2
18 61 5
119 37 6
116 108 9
47 57 10
62 89 5
65 120 6
106 8 9
66 105 6
112 13 8
122 24 6
92 7 1
27 25 6
74 63 6
3 114 9
26 118 1
90 38 7
92 93 5
94 87 9
75 38 2
9 74 5
57 69 4
124 114 6
2 92 2
38 71 4
84 43 8
70 77 8
56 52 7
80 99 10
113 52 1
94 50 5
26 112 1
117 15 2
78 82 7
19 122 6
10 124 3
56 45 9
50 30 9
28 118 3
58 89 6
32 85 6
117 111 9
95 114 9
46 14 2
9 6 6
7 73 1
74 43 7
13 42 6
52 51 4
25 85 1
26 27 6
79 36 2
18 107 3
108 91 2
63 92 4
14 9 5
94 24 6
121 67 7
82 35 7
50 22 9
81 75 4
59 103 9
83 13 4
119 98 4
14 2 2
27 109 7
17 36 10
27 11 8
60 44 4
43 47 2
101 16 9
68 56 9
11 29 8
57 6 4
68 63 10
51 1 4
98 116 6
46 15 1
63 59 1
1 58 10
22 108 7
92 45 8
22 87 8
123 101 6
36 35 7
115 88 1
32 51 6
81 85 5
7 123 6
82 14 9
83 99 2
86 41 6
13 33 2
42 33 9
25 6 3
107 73 10
85 103 4
112 50 1
76 33 1
61 109 1
89 63 8
43 121 8
93 7 4
6 39 3
53 60 3
64 84 3
4 17 8
98 105 7
112 123 6
46 36 2
105 61 6
93 75 5
124 90 6
122 1 2
3 45 5
89 32 5
31 66 3
32 86 8
85 84 3
83 25 6
70 13 1
122 14 10
102 88 3
