128 309
118 63 4
85 5 5
25 96 4
70 23 9
32 81 10
41 40 9
119 121 5
59 30 5
101 82 8
4 95 2
122 104 7
31 41 10
29 116 6
76 102 9
111 90 5
15 49 1
44 63 1
93 57 4
12 97 10
102 119 10
114 43 9
6 80 6
43 76 3
45 76 9
30 55 9
18 127 9
30 1 1
37 12 5
39 72 1
125 119 6
123 74 3
61 113 6
3 18 5
26 29 1
5 108 10
63 64 7
19 48 10
60 25 4
82 18 5
4 71 4
106 30 5
61 66 4
10 105 5
54 73 4
79 22 8
56 105 8
5 62 4
49 95 4
48 99 9
31 1 4
101 70 3
56 77 9
4 90 4
49 85 1
106 112 10
119 3 1
85 38 10
92 76 8
123 62 6
104 8 9
119 46 2
98 44 7
93 95 6
61 74 5
96 98 5
114 20 10
20 88 4
81 85 3
19 69 7
1 72 8
105 75 5
74 40 8
17 74 7
26 95 2
17 85 6
19 28 3
63 57 4
108 13 5
49 69 8
125 96 10
79 23 6
38 111 9
29 36 3
107 18 8
22 49 2
80 1 6
91 55 6
6 86 5
66 79 2
77 116 1
36 98 7
2 58 7
61 109 5
14 50 9
11 16 6
51 29 4
23 40 10
98 81 8
86 33 3
119 31 6
17 47 7
88 2 10
3 122 4
82 24 7
55 108 8
44 65 10
31 38 1
44 119 9
67 3 6
8 39 5
112 11 2
48 6 5
47 19 1
69 103 10
82 104 4
76 90 10
23 38 10
26 38 7
106 89 7
49 87 9
7 68 4
32 46 5
46 32 8
118 112 9
7 18 2
48 26 3
92 23 5
11 106 3
63 118 2
45 101 5
32 110 6
104 120 1
56 60 6
82 15 2
1 113 4
73 83 8
30 104 1
116 2 2
46 126 2
29 65 3
41 92 5
24 2 2
9 66 10
23 70 3
88 25 6
98 22 5
128 84 10
25 123 4
121 31 2
45 5 5
32 6 3
66 17 6
40 127 2
71 112 9
105 77 4
85 89 4
22 48 4
114 21 3
29 34 6
15 46 4
120 100 4
128 87 4
43 115 7
108 15 6
116 120 2
109 64 3
109 115 6
2 46 6
37 9 7
13 111 9
101 11 4
110 108 8
73 103 8
107 56 7
12 74 2
49 1 7
83 120 10
57 84 9
116 38 8
77 51 5
60 94 1
83 112 4
25 90 4
24 75 2
101 32 8
125 98 5
45 27 4
48 76 6
62 2 7
115 56 4
41 80 3
45 128 9
52 90 3
87 20 6
85 108 7
12 100 10
12 17 2
101 105 3
50 86 1
68 119 6
8 90 7
41 24 6
14 24 4
77 7 2
110 104 5
67 91 4
86 111 8
35 107 4
115 49 8
104 40 4
119 103 1
70 97 1
54 48 5
74 63 3
80 11 10
32 105 8
14 13 8
24 122 8
34 120 10
108 15 6
102 24 1
2 69 1
1 18 4
15 21 3
29 5 4
51 105 9
42 16 8
23 108 6
43 87 9
27 36 2
7 122 10
90 61 9
26 120 3
41 35 4
101 31 3
42 23 3
102 52 7
121 38 6
77 63 8
28 54 1
57 121 2
107 82 7
94 88 9
72 120 7
77 88 5
119 15 10
71 16 8
69 49 10
63 71 9
47 108 5
19 54 1
84 11 1
18 31 3
102 5 9
108 100 7
79 53 4
98 102 7
67 123 6
52 31 8
116 65 6
49 28 9
120 89 7
25 36 7
81 65 5
7 19 4
9 64 9
93 95 8
89 12 1
32 2 8
113 69 1
36 95 7
104 60 2
126 7 1
119 54 9
73 22 6
3 46 4
92 59 2
39 95 6
31 89 8
56 104 8
1 20 8
59 83 10
46 37 9
44 51 6
77 41 10
60 46 9
43 84 7
72 14 8
81 92 8
36 42 5
115 51 9
47 65 4
109 64 3
57 34 4
57 22 3
69 5 2
90 103 8
126 119 3
104 26 10
87 122 1
53 123 9
34 30 3
5 58 1
96 76 6
55 58 1
107 100 10
84 45 1
105 94 6
65 77 5
