105 339
12 39 3
63 12 7
19 56 1
66 7 5
31 43 6
53 97 6
12 22 10
25 29 6
36 11 5
55 94 5
95 87 5
46 96 9
83 88 1
5 29 4
62 70 8
65 3 10
80 36 10
30 60 5
99 11 3
9 77 2
56 100 3
3 72 5
68 47 7
84 94 4
38 41 6
97 52 10
52 30 5
68 15 3
53 12 2
21 91 7
89 95 4
7 42 7
82 72 10
75 58 2
2 77 5
105 76 2
41 8 8
6 85 5
105 76 6
3 96 8
15 2 7
103 26 6
69 41 1
77 62 2
57 27 4
43 78 9
78 8 3
60 81 7
88 34 7
47 40 5
4 101 2
5 16 3
92 25 1
27 105 8
83 13 7
93 79 8
73 85 7
33 62 2
31 54 3
73 72 6
84 80 7
88 12 8
99 87 7
78 97 8
35 49 3
70 35 8
31 15 5
50 10 8
41 91 5
77 88 4
24 65 7
78 70 8
44 79 10
19 7 4
67 60 7
41 10 1
33 91 9
87 98 9
73 36 3
38 5 1
92 40 7
87 32 7
40 10 8
58 26 1
99 78 1
98 99 5
9 22 2
83 90 3
9 91 9
15 32 9
13 57 8
53 6 7
28 94 9
47 51 2
61 51 9
82 59 3
2 16 4
96 67 6
20 53 2
28 54 4
101 47 10
94 60 5
24 2 5
81 5 2
18 61 7
38 60 9
80 98 2
85 71 6
51 24 3
70 88 6
6 101 5
5 26 6
63 73 3
42 71 9
34 4 1
53 59 2
59 26 8
79 35 5
13 100 1
82 68 2
55 43 1
63 13 5
14 86 9
72 104 7
102 75 1
54 17 3
66 31 3
41 74 10
78 99 10
63 35 1
33 27 10
101 66 1
13 9 9
53 31 1
68 77 8
15 33 1
89 65 9
47 100 10
55 17 7
22 24 5
67 43 4
69 3 9
3 95 7
90 37 5
13 8 6
48 67 10
73 49 6
30 93 6
35 86 3
58 39 7
43 40 1
20 9 1
30 34 7
34 9 7
24 17 1
34 99 8
8 29 2
73 68 5
81 79 4
91 94 4
91 28 9
35 14 9
18 28 1
6 30 1
9 16 1
56 20 7
22 69 9
82 70 2
29 37 3
37 30 6
16 65 3
48 104 3
2 16 1
54 30 7
63 55 3
94 97 6
8 35 8
59 33 2
80 59 3
76 5 1
34 102 6
66 102 4
68 95 5
92 79 9
91 45 2
52 23 10
104 25 4
38 47 6
98 51 4
37 11 7
6 11 6
15 82 3
40 105 3
34 39 4
28 73 2
50 16 9
28 82 6
57 56 2
86 16 1
3 33 5
102 99 8
66 18 3
98 68 6
82 86 9
62 19 7
49 99 6
83 54 1
22 6 7
41 45 4
32 66 10
43 49 8
7 65 5
40 44 3
94 93 9
60 72 1
31 13 9
44 93 10
42 13 1
105 12 4
94 102 4
3 64 1
82 35 9
26 50 10
38 67 3
2 51 6
35 31 8
78 10 6
59 94 6
59 63 7
51 87 5
40 15 10
38 57 8
66 25 3
51 34 10
65 98 3
6 49 6
66 25 2
8 78 5
81 44 7
22 40 7
18 39 4
37 102 2
99 53 2
74 45 5
37 41 2
9 13 2
68 105 6
2 103 2
21 75 6
18 70 2
75 28 1
92 40 10
91 23 7
71 66 7
96 14 3
26 60 4
70 24 6
102 31 7
18 22 10
21 45 4
28 56 7
72 45 8
17 89 2
98 86 2
99 7 4
53 61 10
16 33 1
96 91 1
50 41 9
22 84 4
16 35 5
16 23 4
2 35 8
66 43 2
98 90 5
56 86 7
102 99 10
72 34 2
62 24 4
47 96 8
51 53 1
19 98 7
6 79 5
62 85 6
11 31 9
18 89 8
58 51 1
12 7 7
15 87 9
13 77 2
96 28 7
90 40 4
90 55 6
60 54 7
75 43 8
6 66 8
103 57 4
85 11 5
85 15 4
10 83 3
62 10 1
61 16 10
57 19 2
12 93 4
41 101 7
42 60 3
53 85 4
92 97 9
24 42 7
58 85 5
55 100 1
17 90 8
48 27 3
74 39 8
96 102 6
95 77 2
45 44 2
81 47 4
98 89 9
98 78 7
37 62 3
68 94 7
22 75 1
25 88 8
37 83 9
88 104 6
100 16 6
6 8 1
77 53 5
51 82 3
48 82 5
96 43 2
24 98 8
90 78 7
12 71 5
74 62 7
42 105 4
104 79 4
31 3 5
