116 334
82 115 3
60 61 10
94 112 2
70 42 2
59 62 5
57 45 6
50 93 5
57 101 5
94 99 5
60 81 6
27 75 1
30 73 5
63 23 7
77 50 3
88 77 9
82 97 7
101 108 5
7 3 5
9 17 2
95 1 9
105 100 10
59 99 6
2 102 8
61 28 4
45 43 4
110 46 5
6 57 7
102 107 9
15 70 7
52 44 5
56 12 8
57 14 7
27 12 8
98 17 4
41 37 8
71 100 1
98 63 1
47 29 8
62 29 6
94 41 5
25 77 2
108 20 5
15 3 6
60 89 6
4 56 10
71 96 9
100 47 6
33 91 8
93 35 10
68 111 8
31 64 4
66 41 9
37 49 9
116 69 7
11 12 5
51 94 5
104 112 7
37 16 7
71 49 3
80 32 2
57 3 8
61 103 6
43 31 3
82 43 7
67 30 8
25 64 2
61 20 9
82 57 2
89 90 7
20 66 3
95 47 1
63 113 1
60 20 2
35 15 9
93 66 9
29 33 4
51 59 3
98 82 2
35 64 2
85 111 1
30 35 5
97 65 1
81 66 7
109 71 3
87 13 8
109 20 3
95 101 10
36 105 4
108 57 9
47 15 4
71 92 5
19 40 10
73 92 5
13 93 5
82 11 7
78 77 2
10 9 2
107 31 2
64 11 5
29 64 3
58 2 10
97 23 5
48 49 10
31 5 7
3 1 3
92 65 7
21 52 4
11 115 1
26 66 5
41 43 1
69 85 6
47 12 6
24 77 3
90 43 7
89 55 8
72 21 4
107 36 9
51 57 6
8 13 3
31 114 3
106 16 9
99 60 2
71 49 9
52 39 9
101 108 7
26 44 4
84 65 10
8 32 9
90 109 8
96 98 10
67 10 7
72 51 10
38 34 1
36 92 8
91 26 6
1 35 4
49 22 6
66 48 1
104 19 6
4 5 5
81 74 9
13 59 8
112 4 4
116 19 10
64 108 3
13 99 10
31 65 6
46 107 3
94 22 3
84 7 5
36 101 9
105 5 6
53 68 4
84 19 7
54 37 1
26 105 9
19 84 8
43 50 7
56 76 5
108 49 4
28 83 10
21 40 9
13 101 8
23 59 6
110 64 9
108 51 3
73 2 2
42 3 6
65 33 1
74 83 3
28 21 5
35 109 5
50 44 7
47 5 7
102 16 5
76 79 10
81 4 3
6 49 5
58 56 2
44 28 7
79 75 9
111 71 1
51 69 9
111 101 5
3 92 8
79 57 5
82 56 8
93 100 7
28 12 2
23 92 2
95 98 2
97 104 5
32 83 6
78 87 1
70 72 8
72 22 6
20 108 3
80 17 7
32 22 5
51 65 4
11 88 6
44 32 2
7 114 10
2 56 8
102 90 9
21 35 6
31 74 4
70 26 8
29 33 5
92 84 1
8 116 1
110 83 5
56 62 2
8 62 4
38 54 7
7 107 5
58 102 6
96 58 1
9 37 10
13 3 8
52 13 3
90 86 9
56 64 3
68 99 7
12 106 7
44 8 8
40 97 2
109 45 2
106 16 2
47 64 3
63 8 4
114 32 6
97 11 10
81 40 6
4 26 5
106 75 3
115 39 1
18 92 3
30 5 4
91 102 3
27 84 10
73 22 2
34 32 5
22 53 7
116 88 1
40 106 4
62 61 1
19 100 10
69 7 1
115 94 6
106 114 5
102 91 6
68 15 6
3 37 10
2 33 6
63 22 7
79 20 10
65 66 10
24 16 9
111 11 9
15 74 5
36 26 10
62 96 1
115 71 5
79 83 2
51 44 10
63 19 5
60 9 6
86 11 10
54 57 3
59 97 3
69 48 4
37 76 5
52 79 10
57 49 10
17 64 6
40 104 9
43 30 1
90 8 6
84 75 6
17 11 5
34 67 2
66 102 10
26 33 2
10 73 8
69 12 5
4 80 9
92 16 1
97 43 7
36 4 5
68 115 8
21 80 7
54 15 10
83 3 2
48 12 7
56 32 10
22 27 2
100 76 9
14 111 4
16 83 2
77 32 3
115 84 8
77 27 5
25 104 10
51 43 2
39 87 3
108 78 1
105 46 2
11 96 9
79 89 5
64 46 2
38 116 8
104 28 1
38 23 2
99 73 9
20 78 8
61 67 2
39 5 7
10 68 8
103 94 2
113 6 8
101 91 1
100 73 5
76 105 7
88 54 8
112 6 10
87 74 7
97 111 6
94 49 7
33 6 6
63 13 9
113 51 4
1 65 5
91 40 3
