123 347
120 33 9
80 40 5
63 50 1
5 45 10
98 32 4
112 100 6
97 112 3
90 120 3
89 117 5
120 20 7
122 36 1
57 101 9
113 83 6
41 13 2
120 39 10
25 87 2
38 57 1
45 58 7
45 25 5
46 72 8
104 73 9
17 13 1
66 15 1
1 8 8
117 23 4
7 24 8
28 30 5
89 60 2
90 12 5
117 42 9
1 65 5
27 5 6
100 65 1
87 119 7
51 33 4
59 64 9
12 111 3
77 32 10
68 117 1
7 92 4
121 26 4
16 71 4
93 39 2
89 6 1
62 88 10
51 53 4
57 38 4
93 114 1
108 57 10
11 80 4
17 59 8
25 41 3
76 42 9
27 87 10
72 95 10
13 34 5
20 95 3
42 16 1
48 23 4
120 61 5
67 108 6
16 32 1
117 113 8
39 89 1
37 74 6
33 43 8
97 122 5
114 112 9
59 79 6
50 97 3
70 14 2
107 79 7
46 55 6
100 75 10
23 107 8
36 74 3
86 87 6
47 33 3
97 58 9
28 110 3
31 19 3
54 114 9
26 46 10
74 44 3
71 51 1
104 98 8
11 20 1
117 59 9
118 43 4
54 26 6
118 85 6
65 25 1
75 110 3
19 106 9
86 30 6
6 115 3
79 115 2
58 93 7
15 47 7
120 92 4
22 67 6
112 105 5
95 43 2
39 67 7
45 66 4
28 102 10
120 114 8
105 42 4
62 102 10
24 62 5
109 119 8
114 57 1
111 54 6
53 45 10
46 120 4
89 20 4
44 107 1
12 4 1
16 67 10
110 70 9
116 12 3
14 49 3
117 83 5
100 116 9
96 21 3
53 47 6
79 58 3
26 70 7
106 116 6
20 90 1
57 25 6
104 58 8
106 46 8
103 59 9
98 109 3
13 63 4
11 107 5
68 83 10
111 86 4
43 34 5
68 114 8
98 108 1
65 40 1
42 118 9
75 117 5
90 22 2
111 31 2
103 75 2
53 27 8
12 60 8
102 74 3
110 7 7
56 59 3
25 89 9
62 82 9
14 45 4
40 117 4
48 26 9
64 20 5
95 87 7
93 121 8
22 69 4
49 37 10
106 56 1
39 68 7
10 80 7
23 98 6
50 105 10
70 87 5
103 55 8
81 45 5
55 36 7
67 49 6
71 96 1
1 102 1
54 79 1
73 20 8
60 89 3
65 61 1
100 107 5
78 90 2
16 1 6
7 102 5
107 6 5
72 64 9
96 35 2
103 49 10
1 70 7
35 19 5
48 109 7
49 123 4
39 79 10
71 99 2
70 7 6
39 108 5
12 51 1
55 91 3
13 1 1
29 23 3
32 112 5
88 8 8
81 120 6
99 19 2
5 108 3
28 2 1
116 4 8
3 2 6
65 79 5
16 118 7
60 111 4
101 88 10
98 54 7
68 116 7
101 42 2
62 49 7
11 10 10
92 34 6
107 122 10
119 2 1
116 94 2
67 14 1
79 59 7
100 40 7
34 73 4
121 11 9
33 112 1
106 63 7
55 77 5
52 106 8
52 96 10
86 54 5
75 70 9
89 95 4
120 74 2
11 51 4
44 72 1
33 84 1
109 108 8
103 68 4
67 123 7
120 10 6
5 21 9
90 2 4
104 97 8
55 40 7
48 72 9
78 82 2
14 89 1
118 81 6
114 61 2
98 3 3
78 74 4
79 110 2
27 96 8
118 70 10
119 108 3
105 2 5
29 33 6
69 45 7
19 48 6
99 60 10
69 18 9
85 51 1
55 117 5
41 7 7
109 9 2
22 28 2
116 24 8
53 92 3
99 43 10
7 123 7
108 33 5
77 90 9
84 49 6
81 62 7
62 115 8
115 97 10
34 29 1
61 9 10
34 7 2
79 66 8
110 84 3
13 4 1
86 1 2
62 35 10
20 104 3
99 116 1
101 121 5
95 69 6
103 22 5
49 51 8
6 86 6
8 101 1
88 1 8
77 101 9
51 73 8
97 102 8
28 79 6
86 112 7
112 98 1
2 33 8
102 25 3
92 11 4
119 99 4
61 121 3
100 95 9
35 21 8
97 74 8
7 14 9
82 65 9
23 47 5
47 4 5
25 115 3
89 86 7
64 40 2
36 107 2
2 112 3
38 107 9
91 10 1
118 114 2
32 71 7
17 102 2
10 94 5
37 67 9
38 90 2
10 16 5
99 120 7
31 107 3
28 111 3
55 12 5
43 49 8
115 11 4
79 9 4
7 28 10
57 60 4
6 83 8
8 111 9
47 93 9
96 75 4
16 5 5
95 71 1
73 61 1
98 40 3
107 15 4
61 32 1
117 30 6
46 26 4
