105 349
29 13 4
47 72 6
97 94 10
73 55 4
20 3 9
81 42 10
40 92 9
61 89 6
1 37 3
82 105 3
10 57 1
55 104 1
84 59 8
75 97 9
71 52 1
67 38 9
104 64 10
35 93 4
85 37 4
11 46 4
22 61 2
15 11 8
29 93 10
100 14 10
60 91 2
79 2 5
94 71 10
53 1 5
101 73 7
11 18 4
65 83 7
59 34 1
20 24 9
76 92 6
75 53 10
89 24 10
70 58 1
53 77 4
47 4 1
63 86 9
67 96 9
42 59 5
45 81 5
84 25 2
14 16 2
104 24 6
93 40 5
92 3 10
76 52 5
21 39 8
61 51 2
88 50 5
98 102 5
97 51 6
27 83 5
56 8 7
81 105 5
1 38 6
105 104 1
39 89 1
30 10 3
31 99 8
33 17 7
49 9 9
87 99 3
39 73 10
16 36 2
79 4 6
40 9 8
60 43 10
52 98 4
100 70 5
48 3 10
46 24 6
84 52 8
53 34 4
101 88 1
51 11 10
95 36 8
78 47 10
43 10 4
44 56 2
20 68 7
75 57 3
15 49 4
92 27 4
68 36 7
87 62 4
7 63 4
68 73 4
36 44 4
8 39 9
64 90 2
96 99 9
43 31 1
14 15 5
95 88 10
70 98 4
74 64 5
104 34 5
76 80 7
77 3 5
77 61 6
77 47 3
75 10 2
103 22 4
80 47 8
95 1 8
15 81 10
31 45 8
91 32 6
44 82 5
58 43 6
58 83 7
35 52 3
100 76 7
2 13 2
7 10 9
61 57 2
35 57 3
74 10 1
91 7 6
59 99 9
34 7 10
55 12 3
89 98 3
87 97 5
47 27 1
96 56 5
47 21 4
19 91 8
72 96 4
1 69 9
37 18 1
62 31 6
94 22 3
65 83 6
85 77 8
80 54 3
17 82 2
11 91 4
4 19 3
44 37 4
49 60 10
90 32 2
100 81 1
87 48 5
98 26 7
84 80 5
54 26 7
17 4 4
5 47 10
105 3 10
38 57 2
1 47 3
39 59 5
85 100 5
99 84 1
54 31 4
90 45 1
97 76 7
94 70 4
8 10 6
50 75 4
16 82 10
7 26 4
83 37 6
53 10 3
29 1 2
72 44 3
45 35 5
43 81 9
80 4 2
40 36 9
82 69 6
33 54 5
60 91 9
63 11 2
50 22 4
4 22 8
57 8 1
83 36 5
55 56 2
36 67 6
60 20 7
71 70 9
50 6 8
22 64 8
73 80 7
69 79 1
55 96 10
100 12 5
55 43 9
34 96 9
43 58 8
63 26 10
41 57 5
79 55 7
88 51 4
71 19 4
50 74 9
19 18 5
98 91 10
64 47 1
3 34 10
42 86 6
43 56 2
102 62 9
76 51 5
35 3 6
52 57 9
74 8 1
51 96 3
96 86 8
50 17 3
1 96 10
93 59 4
25 69 1
3 76 10
90 20 7
52 33 2
59 52 5
25 74 7
101 42 8
67 4 5
45 87 1
101 88 7
27 9 6
47 4 10
17 3 9
68 62 1
62 30 6
89 26 4
80 104 9
34 76 10
51 44 5
84 59 7
73 39 1
88 73 10
30 12 7
9 61 7
2 74 3
45 26 9
73 79 8
81 33 2
52 42 3
41 69 9
70 96 7
100 13 7
19 2 9
97 20 4
44 55 2
102 57 4
65 96 3
10 24 7
21 73 2
89 69 8
59 100 9
82 68 4
8 51 9
35 46 7
45 56 3
40 100 1
31 23 6
48 11 7
29 49 2
16 41 3
79 82 3
104 17 9
7 101 7
92 47 2
81 99 3
16 40 5
60 38 4
31 42 9
8 44 5
98 24 4
52 92 9
33 41 7
34 74 6
23 78 5
77 45 10
43 86 1
44 75 1
9 61 9
69 96 2
71 35 2
90 32 6
20 51 8
18 90 2
91 28 7
44 78 2
15 34 10
95 69 3
94 12 8
75 36 2
22 75 2
79 33 8
27 96 3
23 85 6
103 12 7
57 101 7
19 101 10
59 51 2
20 50 9
72 1 4
39 67 9
58 2 2
69 103 2
75 92 2
99 74 9
1 75 2
78 48 5
87 105 1
89 28 10
104 47 3
41 98 6
84 31 9
87 26 10
97 82 1
23 30 8
60 4 5
10 12 10
68 73 7
51 43 8
43 38 10
90 40 7
53 39 3
41 77 2
50 63 3
69 44 2
91 53 6
70 12 10
30 33 5
7 40 10
79 1 6
31 61 4
7 16 2
68 78 10
41 30 9
28 73 10
55 40 4
13 10 3
53 62 3
24 8 1
93 47 5
71 46 10
71 40 6
60 80 3
