124 306
35 120 8
75 62 4
30 96 10
76 65 9
18 7 4
118 38 9
79 105 4
4 5 5
97 46 8
31 51 4
119 29 5
20 44 8
16 20 10
101 115 10
10 102 3
110 71 7
7 112 8
107 42 5
116 85 8
46 50 7
99 91 10
27 69 6
79 83 3
54 66 9
54 92 6
100 10 4
2 56 6
97 57 9
71 21 10
104 6 10
90 82 1
17 31 3
48 92 3
45 14 3
31 60 10
90 84 5
44 20 5
15 124 2
42 97 7
111 65 10
73 114 10
119 1 1
31 78 1
47 45 1
8 56 5
72 15 3
2 1 8
104 109 7
96 34 5
97 77 5
105 14 8
23 6 8
116 82 8
113 37 2
77 105 2
85 115 6
121 14 8
84 29 10
53 61 2
19 24 7
51 13 3
64 30 4
29 2 5
45 13 6
50 27 7
99 60 9
15 18 1
21 4 5
43 42 6
36 70 9
52 88 10
59 7 9
17 106 8
66 8 10
88 112 1
8 11 5
121 62 6
123 81 3
13 64 5
112 11 8
120 80 2
96 70 9
106 50 10
123 24 1
20 91 6
90 67 8
59 35 2
56 14 6
93 106 9
18 94 2
40 94 3
58 20 9
73 123 3
8 6 10
53 6 2
64 4 1
10 1 6
21 10 1
51 60 6
50 6 3
99 111 7
48 115 2
79 52 3
36 70 1
89 18 9
37 48 7
30 26 1
19 32 1
91 75 3
65 105 1
94 95 8
50 98 6
54 50 8
43 34 5
81 62 8
21 61 7
80 60 6
50 47 3
7 118 10
58 90 9
81 108 6
9 97 6
63 119 10
17 118 4
64 40 5
43 34 7
93 57 1
107 51 1
57 71 4
50 3 1
102 6 6
17 80 8
12 63 9
37 41 7
11 67 5
57 70 8
120 71 3
123 10 7
47 9 2
119 106 8
94 52 7
60 96 3
90 91 10
60 48 5
76 77 8
115 119 4
49 122 5
17 105 7
4 64 10
10 59 10
102 54 9
111 99 2
76 12 4
20 31 8
15 27 10
7 1 2
104 54 3
90 47 5
51 79 8
20 73 2
116 99 1
68 30 6
70 8 3
6 103 2
76 114 9
103 121 9
2 90 8
101 98 7
13 8 2
90 9 2
101 22 10
92 59 4
52 94 8
121 42 7
108 52 3
19 33 10
81 58 4
117 79 4
92 73 8
97 25 2
28 87 5
13 37 2
65 4 3
70 64 3
1 100 9
69 5 4
37 116 1
11 83 5
32 43 10
91 62 7
60 74 7
24 121 10
28 43 4
103 37 6
49 34 6
23 46 5
33 3 6
56 88 6
91 101 4
120 13 8
84 78 5
120 113 10
40 82 3
9 89 8
15 25 9
35 9 6
57 69 4
26 48 6
120 31 4
13 97 5
66 35 4
113 74 4
7 35 2
47 113 6
12 113 1
8 102 9
47 58 5
4 66 3
1 86 5
105 100 7
75 45 10
32 98 3
43 77 6
95 70 8
3 20 4
16 83 2
77 121 4
38 44 2
108 44 10
24 99 2
83 38 4
8 26 7
7 22 3
59 6 4
4 10 2
19 3 9
49 36 7
106 36 1
6 54 1
122 77 7
46 110 3
20 86 4
86 119 7
72 115 4
103 26 8
113 40 3
115 33 8
113 122 6
105 4 10
31 101 1
94 19 3
57 78 10
63 67 10
19 74 4
104 4 1
98 52 8
79 123 3
58 62 9
65 89 3
3 11 6
8 27 1
26 19 8
77 88 6
18 48 2
86 119 1
85 41 9
64 18 10
70 123 6
14 62 5
17 110 2
40 47 1
6 101 5
40 19 8
58 123 2
93 114 2
94 116 9
65 79 9
34 47 8
60 39 9
57 75 7
13 99 8
92 49 10
35 53 7
28 14 4
96 49 4
76 101 7
19 45 9
99 38 5
54 22 8
11 43 2
3 105 3
19 100 5
70 80 1
8 82 2
50 120 7
58 8 10
36 69 9
67 104 6
97 84 10
101 21 4
63 90 10
118 84 10
61 119 10
92 119 9
74 3 1
12 103 1
