103 330
20 77 6
15 76 5
38 54 7
62 14 10
49 75 3
83 63 2
29 24 5
2 22 4
29 59 1
10 53 6
34 64 9
43 92 4
16 23 1
50 102 7
55 20 1
35 70 5
46 40 3
103 7 5
77 52 2
84 11 5
91 37 6
87 102 3
4 30 5
18 23 5
102 10 5
10 20 6
102 31 2
41 66 8
60 34 4
28 95 2
83 88 7
98 3 8
88 17 1
77 33 2
50 40 10
29 34 3
11 38 9
61 65 5
12 47 10
89 1 4
39 37 1
13 96 10
64 61 5
64 61 5
6 103 5
67 22 5
55 102 9
60 95 1
52 4 5
76 29 10
56 27 6
73 14 8
84 90 4
36 61 4
2 4 6
86 62 2
97 90 1
5 27 7
46 88 1
1 5 5
15 5 9
82 54 8
86 60 5
63 47 2
42 84 6
61 35 6
44 50 1
25 36 10
45 78 5
66 100 3
14 86 8
51 1 8
50 99 4
89 55 1
23 69 3
17 50 5
48 82 1
3 38 2
44 98 8
64 36 8
2 68 3
85 84 2
16 5 6
91 36 9
79 65 8
71 91 9
82 61 4
52 79 6
63 101 1
9 17 4
91 47 8
21 1 7
46 39 2
75 86 5
25 54 7
44 98 3
34 14 3
22 78 3
17 33 7
51 75 3
9 11 10
90 50 4
74 73 1
32 39 1
20 38 10
89 12 7
66 91 1
95 18 7
12 49 4
12 54 2
19 34 1
58 97 6
26 41 10
5 28 5
13 24 7
55 22 9
31 83 4
18 30 1
2 58 3
81 49 2
93 7 10
28 82 3
55 33 6
22 75 10
62 90 2
51 5 8
53 35 2
15 4 8
8 35 3
32 35 10
7 17 2
97 65 8
61 11 9
77 50 6
85 97 5
82 55 2
67 26 7
81 42 9
92 42 7
44 81 4
34 37 9
1 43 8
35 30 5
9 39 1
82 15 8
28 45 3
103 98 2
98 29 5
30 61 10
83 37 6
86 28 4
93 22 4
36 57 1
66 84 5
11 66 1
17 79 9
58 70 9
1 37 4
35 22 1
6 75 4
39 17 3
27 19 9
75 95 9
24 70 8
53 41 7
10 103 3
9 86 9
71 54 3
2 68 5
9 90 10
58 70 9
37 48 4
89 38 6
3 8 5
54 15 5
34 75 8
33 70 3
19 52 6
1 72 8
15 67 4
31 46 1
100 98 7
57 72 5
45 49 9
39 22 7
99 8 2
102 39 4
92 46 1
55 40 4
34 10 9
79 43 4
61 67 4
13 63 1
36 88 3
38 19 1
25 84 8
22 86 8
58 57 6
80 17 8
96 48 4
79 25 5
28 89 9
10 24 5
65 9 5
71 79 1
60 87 7
72 66 4
13 32 6
37 38 8
76 69 2
65 33 8
19 27 4
39 15 2
79 83 5
62 84 1
2 41 9
74 1 10
14 93 8
14 57 9
85 35 7
13 29 8
10 45 2
94 34 3
42 2 10
54 38 2
95 49 6
47 2 1
5 90 3
9 95 3
36 58 4
44 18 2
68 19 6
92 57 4
26 37 9
22 86 8
44 94 7
67 73 2
47 11 1
54 25 1
59 18 8
100 29 3
30 22 1
86 26 7
95 68 4
43 16 3
29 73 4
4 49 5
35 102 4
85 31 2
7 97 1
53 70 4
57 25 2
71 27 10
15 43 6
81 95 10
27 100 9
51 7 9
16 77 2
69 63 6
59 83 5
10 82 1
103 48 2
55 67 4
38 80 1
58 52 5
46 84 7
27 58 3
23 12 8
13 41 8
52 87 6
94 2 8
78 70 1
81 99 3
9 84 3
83 39 10
55 93 4
59 36 7
44 28 10
20 3 7
2 21 6
56 22 4
31 11 3
85 74 5
51 84 8
5 45 8
47 32 5
6 18 8
102 97 4
76 6 2
27 64 10
8 28 7
86 81 9
55 11 1
30 73 7
29 76 3
51 14 10
55 47 1
20 59 2
84 48 4
86 71 5
96 39 6
21 11 1
75 60 4
79 42 9
58 75 4
66 16 2
6 58 8
96 89 5
19 12 9
1 57 3
23 87 10
74 34 5
37 21 4
18 22 6
45 69 9
75 55 10
69 32 2
93 86 4
76 31 10
26 24 4
76 68 5
86 69 1
70 84 3
95 54 3
88 12 6
9 24 8
54 20 4
2 19 3
24 88 4
15 27 8
